10001,1600
10002,1000
10003,1700
10004,4600
10005,417
10006,387
10007,366
10009,1100
10010,1400
10011,4400
10012,1900
10013,1300
10014,922
10016,1500
10017,1700
10018,1600
10019,3400
10021,680
10022,1400
10023,392
10024,870
10025,1000
10026,363
10027,316
10028,537
10029,323
10030,274
10031,248
10032,569
10033,183
10034,438
10035,771
10036,1900
10037,220
10038,1100
10039,740
10040,210
10044,1800
10069,14
10128,466
10162,22
10280,696
10282,125
10301,2300
10302,449
10303,1600
10304,2100
10305,2500
10306,1100
10307,52
10308,270
10309,757
10310,568
10312,785
10314,13000
10451,2200
10452,674
10453,1800
10454,449
10455,383
10456,475
10457,510
10458,570
10459,339
10460,539
10461,408
10462,425
10463,1200
10464,1800
10465,3600
10466,205
10467,1300
10468,577
10469,282
10470,217
10471,804
10472,340
10473,186
10474,187
10475,774
10501,48
10502,262
10503,52
10504,1700
10505,55
10506,1200
10507,152
10509,681
10510,342
10511,120
10512,180
10514,1300
10516,694
10517,32
10518,96
10519,27
10520,1200
10522,163
10523,717
10524,736
10526,102
10527,39
10528,1000
10530,912
10532,117
10533,168
10535,48
10536,725
10537,48
10538,1100
10541,522
10543,947
10546,40
10547,244
10548,74
10549,1000
10550,603
10552,614
10553,152
10560,734
10562,1300
10566,215
10567,783
10570,1700
10573,633
10576,993
10577,726
10578,32
10579,686
10580,837
10583,1200
10588,56
10589,166
10590,915
10591,704
10594,87
10595,659
10596,20
10597,12
10598,748
10601,214
10603,716
10604,2500
10605,906
10606,369
10607,717
10701,1500
10703,1400
10704,2200
10705,482
10706,232
10707,341
10708,1800
10709,353
10710,379
10801,1500
10803,2200
10804,1300
10805,343
10901,1300
10913,716
10914,17
10916,522
10917,100
10918,468
10919,127
10920,512
10921,120
10922,19
10923,107
10924,258
10925,84
10926,99
10927,96
10928,662
10930,626
10931,153
10933,10
10940,197
10941,363
10950,182
10952,1400
10953,107
10954,548
10956,477
10958,347
10960,2400
10962,692
10963,280
10964,773
10965,648
10968,163
10969,21
10970,1100
10973,145
10974,826
10975,90
10976,151
10977,1600
10979,93
10980,919
10983,136
10984,84
10985,6
10986,161
10987,549
10988,18
10989,520
10990,144
10992,56
10993,91
10994,536
10996,121
10998,357
11001,594
11003,594
11004,158
11005,17
11010,547
11020,384
11021,386
11023,363
11024,1800
11030,1300
11040,1700
11050,777
11096,329
11101,6200
11102,245
11103,433
11104,234
11105,539
11106,356
11109,63
11201,1600
11203,512
11204,694
11205,1300
11206,1100
11207,1700
11208,1200
11209,512
11210,442
11211,6700
11212,409
11213,167
11214,334
11215,903
11216,935
11217,486
11218,654
11219,690
11220,718
11221,1000
11222,926
11223,527
11224,794
11225,240
11226,677
11228,632
11229,397
11230,512
11231,807
11232,567
11233,514
11234,701
11235,300
11236,178
11237,863
11238,1300
11239,30
11354,762
11355,733
11356,156
11357,158
11358,409
11360,180
11361,259
11362,154
11363,67
11364,225
11365,286
11366,1600
11367,334
11368,827
11369,705
11370,2000
11372,943
11373,1000
11374,552
11375,418
11377,1100
11378,434
11379,528
11385,1800
11411,42
11412,189
11413,594
11414,150
11415,141
11416,375
11417,351
11418,488
11419,476
